
user_id,branch_id,credit_pack_id,credit_pack_purchased_at,created_at,credit_pack_purchase_details
51372890-bb9c-4f47-ab23-83d1411aead1,3591aa99-6a08-4bbc-8ecd-3dd79cb0bc74,af5b7ccb-8185-4ecd-9044-1af80d4472ce,2023-08-20 18:47:38.147,2023-08-20 19:15:57.891,"{\"name\": \"Monthly Membership\",\"source\": \"WEBPORTAL\"}"
0952aadb-1834-414c-bb94-756544803883,679d63bc-b896-480b-be7f-c48780872ba6,afb00a6d-03a1-4972-928e-1018d18f4c39,2023-08-05 09:10:29.219,2023-08-05 09:11:02.735,"{\"name\": \"Yearly Membership\",\"source\": \"WEBPORTAL\"}"
2b5b6b54-0639-42fc-a16d-9dc374639005,679d63bc-b896-480b-be7f-c48780872ba6,3dfeaff8-b31d-4eb4-b44a-cdc6a531e797,2024-01-31 14:10:50.269,2024-01-31 14:16:08.248,"{\"name\": \"Weekly Membership\",\"source\": \"WEBPORTAL\"}"
d66b2d2c-023c-48df-b3e3-4f79841d10aa,dd588b33-76f9-4032-a754-6aa34e26de7b,9fa20e26-7855-466d-ade5-950d4d0af0c4,2023-07-17 11:02:34.729,2023-07-17 11:20:48.990,"{\"name\": \"Monthly Membership\",\"source\": \"RECEPTION_SIGNUP\"}"
8d26c0ec-2fcd-4080-a114-3b568ff4224b,183bf829-76c2-44c7-8a20-b5c8b073efcb,0a717df8-22d2-4498-b99f-d79fc5e13b1b,2024-06-29 11:19:29.635,2024-06-29 11:47:33.778,"{\"name\": \"Yearly Membership\",\"source\": \"RECEPTION_SIGNUP\"}"
b06251b8-a11b-4e92-8c79-2f57cacd59ec,dd588b33-76f9-4032-a754-6aa34e26de7b,43aab03c-74b4-41c6-8621-89d788ee4f5b,2023-09-18 05:21:33.524,2023-09-18 05:45:36.644,"{\"name\": \"Monthly Membership\",\"source\": \"REFERRAL\"}"
6534cb41-6517-4ef9-a84c-5685ee6f719d,3591aa99-6a08-4bbc-8ecd-3dd79cb0bc74,5e141fe2-351d-4f8e-8477-b02a0d9de61b,2024-06-16 20:23:22.092,2024-06-16 20:53:01.038,"{\"name\": \"Yearly Membership\",\"source\": \"REFERRAL\"}"
5ab65223-ff3e-4d46-b3b4-2ecb9e68add9,3591aa99-6a08-4bbc-8ecd-3dd79cb0bc74,2af70faa-f0c8-49d8-955b-329d797805b2,2023-10-06 00:34:34.084,2023-10-06 00:48:42.380,"{\"name\": \"Weekly Membership\",\"source\": \"REFERRAL\"}"
968aaa29-7b8e-4adb-bcfe-0c3f0154c68f,183bf829-76c2-44c7-8a20-b5c8b073efcb,22290c92-7d0d-47f9-9a1a-b1796bf4b0ea,2023-08-12 22:38:44.476,2023-08-12 22:50:48.681,"{\"name\": \"Monthly Membership\",\"source\": \"WEBPORTAL\"}"
77b23c41-48c9-4493-bbf2-40db442cb444,183bf829-76c2-44c7-8a20-b5c8b073efcb,3147ceaa-3e95-4de1-9fb4-51fbf7bdcd52,2024-02-08 00:19:31.851,2024-02-08 00:25:01.948,"{\"name\": \"Monthly Membership\",\"source\": \"WEBPORTAL\"}"
